Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
551-600,Vilnius Gediminas Technical University,Lithuania,,"12,000",Public,Specialist
551-600,Western Sydney University,Australia,,,,
601-650,American University in Dubai,United Arab Emirates,,,,
601-650,Brno University of Technology,Czech Republic,,,,
601-650,Central Queensland University,Australia,,,,
601-650,Chonnam National University,South Korea,,"> 12,000 students",Private,Comprehensive
601-650,Far Eastern Federal University,Russia,,,,
601-650,Indiana University-Purdue University Indianapolis,United States,,"30,000",,
601-650,Inha University,South Korea,,,,
601-650,Istanbul Technical University,Turkey,,,,
601-650,ITMO University,Russia,,,,
601-650,Jadavpur University,India,,,,
601-650,Jordan University of Science & Technology,Jordan,,,,
601-650,Keele University,United Kingdom,,,,
601-650,Lanzhou University,China,,,,
601-650,Lebanese American University,Lebanon,,,,
601-650,National Chengchi University,Taiwan,,,,
601-650,National Chung Hsing University,Taiwan,,,,
601-650,National Taipei University of Technology,Taiwan,,,,
601-650,The New School,United States,,,,
601-650,Tallinn University of Technology,Estonia,,,,
601-650,TU Dortmund University,Germany,,,,
601-650,Thammasat University,Thailand,,,,
601-650,Universidad Anahuac,Mexico,,,,
601-650,Universidad de Antioquia,Colombia,,,,
