Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
751-800,Universidad de La Sabana,Colombia,,"<12,000",Private,Comprehensive+
751-800,Universidad Diego Portales (UDP),Chile,,"<30,000",Private,Comprehensive+
751-800,Universidad Simón Bolívar (USB),Venezuela,,"<12,000",Public,Focused
751-800,Universidade Federal de Santa Catarina,Brazil,,">30,000",Public,Comprehensive+
751-800,Universita' degli Studi di Ferrara,Italy,,"<30,000",Public,Comprehensive+
751-800,Università degli Studi di Perugia,Italy,,"<30,000",Public,Comprehensive+
751-800,Università degli studi Roma Tre,Italy,,">30,000",Public,Comprehensive
751-800,University of Lorraine,France,,">30,000",Public,Comprehensive
751-800,Université de Nantes,France,,">30,000",Public,Comprehensive
751-800,Université Lumière Lyon 2,France,,"<30,000",Public,Specialist
751-800,Université Toulouse 1 Capitole,France,,"<30,000",Public,Focused
751-800,Universiti Teknologi MARA - UiTM,Malaysia,,">30,000",Public,Comprehensive
751-800,University of Brescia,Italy,,"<30,000",Public,Focused
751-800,University of Calcutta,India,,"<30,000",Public,Comprehensive
751-800,University of Colombo,Sri Lanka,,"<30,000",Public,Comprehensive
751-800,University of Hertfordshire,United Kingdom,,"<30,000",Public,Comprehensive
751-800,University of Huddersfield,United Kingdom,,"<30,000",Public,Comprehensive
751-800,University of New Hampshire,United States,,"<30,000",Public,Comprehensive
751-800,University of Pécs,Hungary,,"<30,000",Public,Comprehensive+
751-800,University of Salford,United Kingdom,,,,
751-800,University of Southern Queensland,Australia,,"<30,000",Public,Comprehensive
751-800,University of Tulsa,United States,,,,
751-800,Yamaguchi University,Japan,,"<12,000",Public,Comprehensive+
751-800,Yeungnam University,South Korea,,,,
751-800,Yokohama National University,Japan,,"<12,000",Public,Comprehensive
