ranking,fund_short_name,fund_company,investment_strategy,lastest_NAV,cumulative_return,recent_month_return,annalized_return,sharpe_ratio,year_rating
1,前海方舟大溪地成长2号,前海方舟,复合策略,"1.7920
2017-09-29",79.20%,71.98%,--,--,Not provided
2,万方稳进1号,万方资产,复合策略,"2.3691
2017-10-20",158.87%,41.66%,--,--,5out of 5
3,华鑫信托-华融金融小镇-九智1号,德清瑞智,事件驱动,"1.1343
2017-10-13",14.41%,40.52%,--,--,Not provided
4,华鑫信托-华融金融小镇-九智2号,德清瑞智,事件驱动,"1.1858
2017-10-13",19.58%,40.52%,--,--,Not provided
5,白泽昆仑1号,白泽万象,宏观策略,"1.3516
2017-09-29",35.16%,35.16%,--,--,Not provided
6,贤达二号量化CTA,厚石天成,管理期货,"1.5270
2017-10-27",129.30%,33.39%,--,--,Not provided
7,金谷信托-思索1号,浙江思考投资,事件驱动,"1.1340
2017-10-23",47.40%,31.28%,--,--,Not provided
8,万方价值2号,万方资产,复合策略,"1.4470
2017-10-20",31.80%,30.47%,--,--,Not provided
9,弈胜成长1号,弈胜资产,复合策略,"1.3480
2017-10-19",26.30%,28.22%,--,--,Not provided
10,白鹭囊萤,白鹭资管,复合策略,"3.2120
2017-10-19",200.50%,27.49%,--,--,4out of 5
11,杰询专户1号,杰询投资,复合策略,"1.5920
2017-10-27",40.50%,27.26%,--,--,3out of 5
12,远澜火松,远澜信息,管理期货,"1.2370
2017-10-27",33.10%,26.76%,--,--,3out of 5
13,安石泰富,中金安石,管理期货,"0.8383
2017-10-27",-14.40%,25.02%,--,--,Not provided
14,中投九鼎定增1号,中投昆泰,事件驱动,"1.3580
2017-10-23",33.80%,24.81%,--,--,Not provided
15,中投恒星科技,中投昆泰,事件驱动,"1.0830
2017-10-23",19.00%,22.72%,--,--,Not provided
16,小牛FOF精选,希瓦资产,组合策略,"2.4210
2017-10-27",129.90%,21.70%,--,--,4out of 5
17,天谷宏观策略一号,天谷资产,宏观策略,"1.8847
2017-10-27",84.66%,21.32%,--,--,Not provided
18,硕桦1号,远澜信息,管理期货,"1.4530
2017-10-27",59.60%,20.73%,--,--,5out of 5
19,哈特莱之星定增6号,哈特莱投资,事件驱动,"0.9732
2017-10-20",-2.39%,17.43%,--,--,Not provided
20,大树多策略量化1号,广州大树投资,管理期货,"2.1909
2017-10-27",122.20%,17.39%,--,--,3out of 5
21,远澜银杉,远澜信息,复合策略,"1.1490
2017-10-27",27.40%,16.56%,--,--,3out of 5
22,经易众盈系列全品种,经易金业,管理期货,"0.9850
2017-10-20",1.30%,15.76%,--,--,1out of 5
23,百佑司羊,深圳百佑资产,宏观策略,"0.8580
2017-10-06",-14.20%,15.63%,--,--,3out of 5
24,虚云一号,金源亨立资产,管理期货,"1.1990
2017-10-27",16.40%,15.59%,--,--,Not provided
25,中融恒升专享6号,鼎尚金投资,管理期货,"1.6710
2017-09-29",67.10%,15.32%,--,--,Not provided
26,映雪霜雪8号,映雪资本,复合策略,"1.1332
2017-10-10",15.51%,14.42%,--,--,4out of 5
27,健坤石湖1号,健坤资产,复合策略,"1.0820
2017-10-27",0.30%,14.37%,--,--,3out of 5
28,天钺盘古1号,天钺资产,管理期货,"0.9877
2017-10-31",2.70%,14.36%,--,--,1out of 5
29,泳慕对冲1号,泳慕资产,管理期货,"0.9757
2017-10-27",36.23%,14.18%,--,--,3out of 5
30,善行1号,金源亨立资产,管理期货,"1.0970
2017-10-27",3.60%,13.85%,--,--,Not provided
31,明丞起航量化对冲,明丞资产,复合策略,"1.2730
2017-10-23",29.10%,13.84%,--,--,Not provided
32,新方程星动力S5号,新方程,组合策略,"1.3320
2017-10-25",30.40%,13.69%,--,--,3out of 5
33,量金睿享1号,量金资产,管理期货,"1.2600
2017-10-20",22.60%,13.52%,--,--,Not provided
34,乔戈里中明中小盘定增,乔格理投资,事件驱动,"5.5500
2017-09-29",455.00%,13.27%,--,--,Not provided
35,卓凯一号1期,卓凯投资,组合策略,"1.9074
2017-10-20",78.39%,13.18%,--,--,4out of 5
36,仙童3期,仙童投资,复合策略,"1.6600
2017-10-20",50.30%,13.09%,--,--,5out of 5
37,陕国投-财富尊享18号,银创资本,事件驱动,"1.1848
2017-10-13",19.03%,12.92%,--,--,Not provided
38,天钺顺景,天钺资产,管理期货,"1.0358
2017-10-31",7.35%,12.76%,--,--,1out of 5
